# step, gen_loss, dis_loss
41400,  3.561721E+00,  8.724037E-02
41500,  3.718903E+00,  8.550806E-02
41600,  3.659625E+00,  6.635617E-02
41700,  3.495130E+00,  8.825823E-02
41800,  3.414628E+00,  8.446073E-02
41900,  3.508765E+00,  8.972529E-02
42000,  3.646153E+00,  7.468644E-02
42100,  3.397396E+00,  9.038793E-02
42200,  3.432245E+00,  9.516282E-02
42300,  3.250369E+00,  9.702668E-02
42400,  3.509225E+00,  9.784383E-02
42500,  3.814503E+00,  9.024486E-02
42600,  3.318175E+00,  9.441420E-02
42700,  3.443578E+00,  1.002048E-01
42800,  3.474719E+00,  8.490792E-02
42900,  3.203084E+00,  9.917926E-02
43000,  3.748537E+00,  7.791264E-02
43100,  3.422467E+00,  1.144560E-01
43200,  3.460452E+00,  9.164197E-02
43300,  3.315220E+00,  1.016347E-01
43400,  3.764926E+00,  7.250510E-02
43500,  3.283828E+00,  1.073566E-01
43600,  3.604753E+00,  9.061290E-02
43700,  3.488105E+00,  8.320702E-02
43800,  3.195558E+00,  1.071506E-01
43900,  3.252065E+00,  1.060659E-01
44000,  3.522915E+00,  8.953810E-02
44100,  3.602340E+00,  8.306836E-02
44200,  3.506386E+00,  9.787606E-02
44300,  3.679938E+00,  7.572204E-02
44400,  3.578611E+00,  8.896065E-02
44500,  3.714868E+00,  7.416712E-02
44600,  3.478955E+00,  8.579123E-02
44700,  3.582911E+00,  7.747136E-02
44800,  3.524680E+00,  7.857766E-02
44900,  3.421731E+00,  7.825597E-02
45000,  3.743869E+00,  7.657672E-02
45100,  3.335997E+00,  9.629396E-02
45200,  3.625926E+00,  8.212487E-02
45300,  3.576677E+00,  8.301558E-02
45400,  3.542362E+00,  7.963604E-02
45500,  3.394550E+00,  1.127026E-01
45600,  3.258382E+00,  1.026560E-01
45700,  3.515403E+00,  9.056450E-02
45800,  3.412549E+00,  8.722633E-02
45900,  3.619055E+00,  6.972488E-02
46000,  3.277499E+00,  1.099538E-01
46100,  3.319995E+00,  1.025586E-01
46200,  3.623286E+00,  6.590910E-02
46300,  3.589336E+00,  7.451086E-02
46400,  3.171962E+00,  1.040331E-01
46500,  3.697782E+00,  6.958598E-02
46600,  3.430682E+00,  9.710120E-02
46700,  3.472733E+00,  9.307575E-02
46800,  3.515305E+00,  9.961174E-02
46900,  3.651881E+00,  7.996608E-02
47000,  3.545254E+00,  8.504659E-02
47100,  3.547210E+00,  7.284971E-02
47200,  3.703503E+00,  8.599626E-02
47300,  3.492313E+00,  8.945377E-02
47400,  3.670129E+00,  7.800930E-02
47500,  3.290926E+00,  9.560005E-02
47600,  3.545200E+00,  8.147036E-02
47700,  3.423468E+00,  1.038395E-01
47800,  3.603468E+00,  9.200354E-02
47900,  3.865707E+00,  7.790549E-02
48000,  3.579203E+00,  7.407941E-02
48100,  3.314016E+00,  1.227408E-01
48200,  3.415145E+00,  9.692178E-02
48300,  3.469057E+00,  9.832516E-02
48400,  3.287881E+00,  9.658507E-02
48500,  3.461705E+00,  9.480657E-02
48600,  3.462905E+00,  8.509064E-02
48700,  3.587052E+00,  8.122483E-02
